coord,weather,snow,rain,message,main,description,icon,base,main,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind,clouds,dt,sys,id,country,sunrise,sunset,timezone,id,name,cod
"{'lon': -70.05, 'lat': -26.3667}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,,,"{'temp': 286.22, 'feels_like': 285.39, 'temp_min': 286.22, 'temp_max': 286.22, 'pressure': 1015, 'humidity': 67, 'sea_level': 1015, 'grnd_level': 904}",,,stations,"{'temp': 286.22, 'feels_like': 285.39, 'temp_min': 286.22, 'temp_max': 286.22, 'pressure': 1015, 'humidity': 67, 'sea_level': 1015, 'grnd_level': 904}",,,,,,10000,"{'speed': 0.22, 'deg': 223}",{'all': 35},1612323864,"{'country': 'CL', 'sunrise': 1612347394, 'sunset': 1612395090}",3892454,,,,-10800,3892454,Diego de Almagro,200
"{'lon': -34.8553, 'lat': -8.0089}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,,,"{'temp': 299.15, 'feels_like': 299.9, 'temp_min': 299.15, 'temp_max': 299.15, 'pressure': 1013, 'humidity': 69}",,,stations,"{'temp': 299.15, 'feels_like': 299.9, 'temp_min': 299.15, 'temp_max': 299.15, 'pressure': 1013, 'humidity': 69}",,,,,,10000,"{'speed': 4.12, 'deg': 100}",{'all': 40},1612323298,"{'type': 1, 'id': 8426, 'country': 'BR', 'sunrise': 1612340414, 'sunset': 1612385175}",3393536,,,,-10800,3393536,Olinda,200
"{'lon': 168.3333, 'lat': -46.6}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",,,,"{'temp': 287.06, 'feels_like': 284.45, 'temp_min': 287.06, 'temp_max': 287.06, 'pressure': 1021, 'humidity': 69, 'sea_level': 1021, 'grnd_level': 1018}",,,stations,"{'temp': 287.06, 'feels_like': 284.45, 'temp_min': 287.06, 'temp_max': 287.06, 'pressure': 1021, 'humidity': 69, 'sea_level': 1021, 'grnd_level': 1018}",,,,,,10000,"{'speed': 3.18, 'deg': 185}",{'all': 73},1612323270,"{'country': 'NZ', 'sunrise': 1612287696, 'sunset': 1612340354}",2206939,,,,46800,2206939,Bluff,200
"{'lon': -155.09, 'lat': 19.7297}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,,"{'temp': 295.1, 'feels_like': 292.78, 'temp_min': 292.59, 'temp_max': 298.15, 'pressure': 1014, 'humidity': 65}",,,stations,"{'temp': 295.1, 'feels_like': 292.78, 'temp_min': 292.59, 'temp_max': 298.15, 'pressure': 1014, 'humidity': 65}",,,,,,10000,"{'speed': 5.66, 'deg': 120}",{'all': 1},1612323274,"{'type': 1, 'id': 7881, 'country': 'US', 'sunrise': 1612284899, 'sunset': 1612325593}",5855927,,,,-36000,5855927,Hilo,200
,,,,city not found,,,,,,,,,,,,,,,,,,,,,,,404
"{'lon': -51.1, 'lat': 69.2167}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,,"{'temp': 252.15, 'feels_like': 241.91, 'temp_min': 252.15, 'temp_max': 252.15, 'pressure': 1027, 'humidity': 65}",,,stations,"{'temp': 252.15, 'feels_like': 241.91, 'temp_min': 252.15, 'temp_max': 252.15, 'pressure': 1027, 'humidity': 65}",,,,,,10000,"{'speed': 9.26, 'deg': 100}",{'all': 0},1612323300,"{'type': 1, 'id': 165, 'country': 'GL', 'sunrise': 1612356422, 'sunset': 1612376966}",3423146,,,,-10800,3423146,Ilulissat,200
"{'lon': 55.7679, 'lat': -21.3585}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,,"{'temp': 299.18, 'feels_like': 300.94, 'temp_min': 295.93, 'temp_max': 300.93, 'pressure': 1013, 'humidity': 65}",,,stations,"{'temp': 299.18, 'feels_like': 300.94, 'temp_min': 295.93, 'temp_max': 300.93, 'pressure': 1013, 'humidity': 65}",,,,,,10000,"{'speed': 2.06, 'deg': 50}",{'all': 0},1612323271,"{'type': 1, 'id': 2127, 'country': 'RE', 'sunrise': 1612317621, 'sunset': 1612364465}",935215,,,,14400,935215,Saint-Philippe,200
"{'lon': -49.6678, 'lat': 61.994}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",,,,"{'temp': 258.62, 'feels_like': 250.87, 'temp_min': 258.62, 'temp_max': 258.62, 'pressure': 1021, 'humidity': 79, 'sea_level': 1021, 'grnd_level': 1019}",,,stations,"{'temp': 258.62, 'feels_like': 250.87, 'temp_min': 258.62, 'temp_max': 258.62, 'pressure': 1021, 'humidity': 79, 'sea_level': 1021, 'grnd_level': 1019}",,,,,,10000,"{'speed': 6.1, 'deg': 355}",{'all': 0},1612323864,"{'country': 'GL', 'sunrise': 1612352299, 'sunset': 1612380400}",3421193,,,,-10800,3421193,Paamiut,200
,,,,city not found,,,,,,,,,,,,,,,,,,,,,,,404
"{'lon': 172.7902, 'lat': 3.0707}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",,{'1h': 0.18},,"{'temp': 300.99, 'feels_like': 301.69, 'temp_min': 300.99, 'temp_max': 300.99, 'pressure': 1005, 'humidity': 83, 'sea_level': 1005, 'grnd_level': 1004}",,,stations,"{'temp': 300.99, 'feels_like': 301.69, 'temp_min': 300.99, 'temp_max': 300.99, 'pressure': 1005, 'humidity': 83, 'sea_level': 1005, 'grnd_level': 1004}",,,,,,10000,"{'speed': 7.89, 'deg': 83}",{'all': 97},1612323272,"{'country': 'KI', 'sunrise': 1612291367, 'sunset': 1612334544}",2110227,,,,43200,2110227,Butaritari,200
